configuration,problem,model,data_file,time,run,objective
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta47_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta47_3a_alloc1_MaxEffGini.dzn,1.447,MaxEff,-4693
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta47_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta47_3a_alloc1_MaxEffGini.dzn,1.497,MaxEff,-5295
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta47_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta47_3a_alloc1_MaxEffGini.dzn,1.552,MaxEff,-6164
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta47_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta47_3a_alloc1_MaxEffGini.dzn,1.672,MaxEff,-6295
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta47_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta47_3a_alloc1_MaxEffGini.dzn,1.717,MaxEff,-6897
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta47_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta47_3a_alloc1_MaxEffGini.dzn,2.002,MaxEff,-6907
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta47_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta47_3a_alloc1_MaxEffGini.dzn,2.114,MaxEff,-6968
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta47_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta47_3a_alloc1_MaxEffGini.dzn,2.224,MaxEff,-7052
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta47_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta47_3a_alloc1_MaxEffGini.dzn,6.034,MaxEff,-7097
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta47_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta47_3a_alloc1_MaxEffGini.dzn,6.164,MaxEff,-7136
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta47_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta47_3a_alloc1_MaxEffGini.dzn,6.235,MaxEff,-7738
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta47_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta47_3a_alloc1_MaxEffGini.dzn,6.333,MaxEff,-7830
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta47_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta47_3a_alloc1_MaxEffGini.dzn,7.286,MaxEff,-7933
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta47_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta47_3a_alloc1_MaxEffGini.dzn,8.463,MaxEff,-7953
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta47_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta47_3a_alloc1_MaxEffGini.dzn,10.059,MaxEff,-8053
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta47_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta47_3a_alloc1_MaxEffGini.dzn,10.128,MaxEff,-8655
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta47_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta47_3a_alloc1_MaxEffGini.dzn,10.246,MaxEff,-8656
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta47_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta47_3a_alloc1_MaxEffGini.dzn,10.893,MaxEff,-8735
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta47_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta47_3a_alloc1_MaxEffGini.dzn,14.049,MaxEff,-8802
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta47_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta47_3a_alloc1_MaxEffGini.dzn,20.042,MaxEff,-8817
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta47_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta47_3a_alloc1_MaxEffGini.dzn,20.863,MaxEff,-8884
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta47_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta47_3a_alloc1_MaxEffGini.dzn,58.166,MaxEff,-9467
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta47_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta47_3a_alloc1_MaxEffGini.dzn,114.106,MaxEff,-9470
